Datum und Uhrzeit,Ping (ms),Download (Mb/s),Upload (Mb/s),Host,Location,Sponsor
03/06/2022 17:06:55,13.203,46.05,33.67,speedtest.schlueter-server.de:8080,Ruethen,Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:11:35|15.856|45.23|36.0|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:12:57|13.336|44.68|37.01|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:14:19|15.158|44.27|36.97|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:15:41|13.255|42.22|35.17|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:17:03|13.218|44.16|35.75|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:18:25|12.72|43.06|37.86|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:19:49|19.624|43.88|33.14|speedtest.sitbv.nl:8080|Voorthuizen|SIT Internetdiensten B.V.
Datum und Uhrzeit|Ping (ms)|Download (Mb/s)|Upload (Mb/s)|Host|Location|Sponsor
03/06/2022 17:21:11|12.093|41.94|35.85|speedtest.schlueter-server.de:8080|Ruethen|Schlueter Onlinedienste
